game,projected_margin,side,posted_line,total
Syracuse @ Pittsburgh,18.21,,,52.0
Miami @ Wake Forest,-7.49,,,52.0
Akron @ Minnesota,4.95,,,52.0
Arizona State @ Kansas,-1.49,,,52.0
BYU @ Colorado State,-6.28,,,52.0
Ball State @ Liberty,11.54,,,52.0
Bowling Green @ Iowa State,16.35,,,52.0
Buffalo @ Penn State,21.83,,,52.0
Charlotte @ App State,14.98,,,52.0
Coastal Carolina @ Delaware,4.72,,,52.0
Colorado @ Northwestern,6.07,,,52.0
East Carolina @ Old Dominion,4.19,,,52.0
Eastern Michigan @ Wisconsin,6.78,,,52.0
Florida @ Auburn,4.37,,,52.0
Florida International @ Florida Atlantic,-3.04,,,52.0
Florida State @ Alabama,15.48,,,52.0
Georgia @ Arkansas,-12.25,,,52.0
Georgia Southern @ Jacksonville State,3.19,,,52.0
Georgia State @ UCF,4.95,,,52.0
Houston @ Texas Tech,11.86,,,52.0
Kennesaw State @ Tennessee,17.02,,,52.0
Kent State @ Ohio State,27.54,,,52.0
Kentucky @ Texas A&M,24.23,,,52.0
LSU @ Ole Miss,0.92,,,52.0
Louisiana Tech @ Baylor,7.77,,,52.0
Marshall @ Missouri State,2.9,,,52.0
Miami (OH) @ Cincinnati,13.09,,,52.0
Michigan State @ Notre Dame,15.32,,,52.0
Mississippi State @ South Carolina,-0.5,,,52.0
NC State @ Vanderbilt,12.62,,,52.0
Nevada @ Middle Tennessee,-2.77,,,52.0
New Mexico @ Oklahoma,3.86,,,52.0
North Carolina @ Clemson,4.95,,,52.0
North Texas @ Texas State,-8.39,,,52.0
Ohio @ South Alabama,4.96,,,52.0
SMU @ Louisville,0.74,,,52.0
Stanford @ Duke,16.16,,,52.0
Temple @ Toledo,12.07,,,52.0
Troy @ Missouri,13.78,,,52.0
Tulane @ Kansas State,11.43,,,52.0
UConn @ Southern Miss,3.23,,,52.0
USC @ Rutgers,-18.21,,,52.0
UTEP @ Michigan,18.73,,,52.0
Utah State @ Utah,15.77,,,52.0
Virginia Tech @ Maryland,5.99,,,52.0
West Virginia @ Virginia,11.6,,,52.0
Western Kentucky @ Indiana,31.89,,,52.0
Western Michigan @ Rice,-8.58,,,52.0
Wyoming @ Central Michigan,4.7,,,52.0
Arkansas State @ TCU,9.79,,,52.0
Fresno State @ San José State,-1.69,,,52.0
James Madison @ San Diego State,-3.47,,,52.0
North Dakota State @ Sacramento State,-11.66,,,52.0
Northern Illinois @ Arizona,16.42,,,52.0
Purdue @ UCLA,12.76,,,52.0
UAB @ Louisiana,7.32,,,52.0
UTSA @ Texas,10.82,,,52.0
